2026-09-18T22:08:31Z INFO Logging to /tmp/logs/update_2026-09-18T22-08-31Z.log.
2026-09-18T22:08:31Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T22:08:32Z INFO Processing 500 items (48508 already recorded).
2026-09-18T22:08:33Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-18T22:09:52Z INFO [39/500] 052d7264-d393-4418-845e-0eb4b77c4357: 17 internal nodes; 0.9 s; peak memory 131 MiB.
2026-09-18T22:09:55Z INFO [40/500] 052d7c98-bc6b-442f-b6b4-0d581a717cbc: 56 internal nodes; 3.4 s; peak memory 131 MiB.
2026-09-18T22:09:56Z INFO [41/500] 052e0351-cf13-4156-b41f-8fd1206866a5: 17 internal nodes; 0.9 s; peak memory 131 MiB.
2026-09-18T22:09:57Z INFO [42/500] 052ead5a-ce14-41cc-9e89-30451ee32c87: 17 internal nodes; 1.1 s; peak memory 131 MiB.
2026-09-18T22:09:58Z INFO [43/500] 052f0be5-f546-49b7-af9e-80941a76e589: 11 internal nodes; 0.9 s; peak memory 131 MiB.
2026-09-18T22:09:59Z INFO [44/500] 052f14e3-dd9e-46ac-a852-0bcce7e0bb84: 27 internal nodes; 1.2 s; peak memory 131 MiB.
2026-09-18T22:10:00Z INFO [45/500] 052fbc3f-4ce6-4ec8-ace8-b490212687c3: 17 internal nodes; 0.9 s; peak memory 131 MiB.
2026-09-18T22:10:01Z INFO [46/500] 05301c4c-539b-421a-8be0-102e6fe39d6c: 17 internal nodes; 1.0 s; peak memory 131 MiB.
2026-09-18T22:10:03Z INFO [47/500] 05301e4d-6b77-43ac-a8ae-ecfca7a66bd5: 31 internal nodes; 1.5 s; peak memory 131 MiB.
2026-09-18T22:10:05Z INFO [48/500] 05308207-db13-4831-b969-31455895c2b5: 61 internal nodes; 2.1 s; peak memory 131 MiB.
2026-09-18T22:10:06Z INFO [49/500] 05318185-0f03-4931-9762-7c8c16b57d9d: 27 internal nodes; 1.3 s; peak memory 131 MiB.
2026-09-18T22:10:07Z INFO [50/500] 0531a2ba-291b-4607-92fc-23d17a8ea611: 90 internal nodes; 1.3 s; peak memory 131 MiB.
2026-09-18T22:10:07Z INFO [50/500] 0531a2ba-291b-4607-92fc-23d17a8ea611: checkpointed 48557 records.
2026-09-18T22:10:10Z INFO [51/500] 0531f2b6-d871-4cf5-bfa4-8cb4674835e2: 44 internal nodes; 2.7 s; peak memory 131 MiB.
2026-09-18T22:10:11Z INFO [52/500] 0531fdd0-9e41-4fa9-abfe-6498a6a804f1: 11 internal nodes; 0.7 s; peak memory 131 MiB.
2026-09-18T22:10:12Z INFO [53/500] 05328b9e-33fa-4484-bd72-10ea83b2bfcf: 27 internal nodes; 1.3 s; peak memory 131 MiB.
2026-09-18T22:10:13Z INFO [54/500] 0532c216-8987-49bf-af2b-6616ac7fd50d: 17 internal nodes; 1.0 s; peak memory 131 MiB.
2026-09-18T22:10:15Z INFO [55/500] 0532fa88-4a06-4d1f-82d9-cff8add983ee: 27 internal nodes; 1.4 s; peak memory 131 MiB.
2026-09-18T22:10:16Z INFO [56/500] 053312d4-a28b-4274-9601-f3fc6662ce44: 116 internal nodes; 1.1 s; peak memory 131 MiB.
2026-09-18T22:10:16Z INFO [57/500] 05331724-3958-4972-8787-f386d6aac2ca: 11 internal nodes; 0.7 s; peak memory 131 MiB.
2026-09-18T22:10:17Z INFO [58/500] 05335dcd-bcd5-4f7b-ad42-7bffc834d203: 18 internal nodes; 0.8 s; peak memory 131 MiB.
2026-09-18T22:10:18Z INFO [59/500] 0533b451-acae-4130-8015-21720ba92705: 17 internal nodes; 1.0 s; peak memory 131 MiB.
2026-09-18T22:10:20Z INFO [60/500] 0533de9a-b3ca-496b-ad6a-d02e1fb11887: 67 internal nodes; 1.6 s; peak memory 131 MiB.
2026-09-18T22:10:29Z INFO [61/500] 053447c0-8abf-43ef-ae7e-7f52021beead: 186 internal nodes; 9.3 s; peak memory 131 MiB.
2026-09-18T22:10:30Z INFO [62/500] 0534842f-40ac-49bd-9ca4-3134bab0c720: 60 internal nodes; 1.4 s; peak memory 131 MiB.
2026-09-18T22:10:32Z INFO [63/500] 0534931a-a056-4bea-b073-9d28a32ab220: 16 internal nodes; 1.1 s; peak memory 131 MiB.
2026-09-18T22:10:47Z INFO [64/500] 0534b717-ecca-42f9-9b78-4b921a630c07: 340 internal nodes; 15.4 s; peak memory 141 MiB.
2026-09-18T22:10:48Z INFO [65/500] 0534d647-b251-4c93-a4b0-7bdacd222888: 17 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-18T22:10:51Z INFO [66/500] 0534e10e-a5cb-4a85-88b0-f85277a19f7a: 46 internal nodes; 3.2 s; peak memory 141 MiB.
2026-09-18T22:10:58Z INFO [67/500] 0535ab9a-b55b-4c56-a725-6a598b27f9dc: 148 internal nodes; 6.3 s; peak memory 141 MiB.
2026-09-18T22:11:00Z INFO [68/500] 0536bb35-f4ca-4928-a726-995533256bed: 56 internal nodes; 2.4 s; peak memory 141 MiB.
2026-09-18T22:11:01Z INFO [69/500] 0536f78a-4c24-481f-b0de-a47ddc0e240f: 118 internal nodes; 1.4 s; peak memory 141 MiB.
2026-09-18T22:11:02Z INFO [70/500] 0536f82f-3a52-4840-a8d2-bd855ef45a68: 17 internal nodes; 1.0 s; peak memory 141 MiB.
