2026-09-17T22:34:24Z INFO Logging to /tmp/logs/update_2026-09-17T22-34-24Z.log.
2026-09-17T22:34:24Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T22:34:24Z INFO Processing 500 items (47510 already recorded).
2026-09-17T22:34:25Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-17T22:35:22Z INFO [39/500] 02f67774-1582-4fa2-9965-eb1302985167: 27 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:22Z INFO [40/500] 02f6ae84-ea34-466d-a3ec-f95150c4f7a5: 27 internal nodes; 0.8 s; peak memory 130 MiB.
2026-09-17T22:35:23Z INFO [41/500] 02f7c770-a101-407f-8cbe-3d5977ef7ba0: 39 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-17T22:35:25Z INFO [42/500] 02f95812-16ac-4f9b-ac16-02ecd0e48b08: 65 internal nodes; 1.3 s; peak memory 130 MiB.
2026-09-17T22:35:25Z INFO [43/500] 02f9bc28-54e5-41dd-9386-a4d42845c57a: 17 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:26Z INFO [44/500] 02f9dc18-ecee-47da-b826-2b598c2b7091: 31 internal nodes; 1.1 s; peak memory 130 MiB.
2026-09-17T22:35:28Z INFO [45/500] 02f9ec3a-558b-43a3-b2fc-9d7e3dbe54b9: 44 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-17T22:35:28Z INFO [46/500] 02fa72cc-ebc8-4348-a420-b035bee95b89: 27 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:29Z INFO [47/500] 02fa7c00-efc5-4a80-9948-e8b676306bc2: 23 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:32Z INFO [48/500] 02fa9ed3-af82-4932-ba61-db5b28791821: 167 internal nodes; 2.8 s; peak memory 130 MiB.
2026-09-17T22:35:32Z INFO [49/500] 02faf2a3-2fde-4ba8-b45c-f8fea65b8fa7: 27 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:33Z INFO [50/500] 02fc806e-80c5-4edd-867e-f115437f1801: 13 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:33Z INFO [50/500] 02fc806e-80c5-4edd-867e-f115437f1801: checkpointed 47559 records.
2026-09-17T22:35:35Z INFO [51/500] 02fcbfad-d910-4f13-9656-3dfec2955670: 46 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-17T22:35:35Z INFO [52/500] 02fcf892-92e4-40bd-9ef6-e6ed61d2d334: 27 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:36Z INFO [53/500] 02fd5fbe-232c-43d2-b49c-e09f76abf3b3: 18 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:37Z INFO [54/500] 02fdaedc-cbb3-4b54-8243-119ce25fd0c0: 31 internal nodes; 1.0 s; peak memory 130 MiB.
2026-09-17T22:35:37Z INFO [55/500] 02fe5a5b-1a36-4c6c-8073-af972e319de3: 17 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:38Z INFO [56/500] 02ffcda0-8f26-4e1a-8efe-d4e3dc25e361: 27 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:39Z INFO [57/500] 03002cc1-5c2c-4d35-89ba-f572cb1b001e: 17 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:39Z INFO [58/500] 0300bf5a-ed68-4eef-81cd-3297b6197f8a: 17 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:48Z INFO [59/500] 030123d0-24d9-4fdd-9495-a006fc06aed6: 312 internal nodes; 8.3 s; peak memory 135 MiB.
2026-09-17T22:35:48Z INFO [60/500] 030131e8-f425-4799-bc97-e2c1c0865f62: 17 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:35:49Z INFO [61/500] 03013602-8516-48cd-8130-46bcb56b7abc: 61 internal nodes; 1.1 s; peak memory 135 MiB.
2026-09-17T22:35:51Z INFO [62/500] 0301ab30-f480-4e7c-b2e5-cc28fc5ef0c2: 44 internal nodes; 1.6 s; peak memory 135 MiB.
2026-09-17T22:35:52Z INFO [63/500] 0301b704-3832-4032-b33c-d8c782c1d06b: 17 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:35:52Z INFO [64/500] 03027bd0-07f8-400e-a26f-6e5758e00b73: 27 internal nodes; 0.7 s; peak memory 135 MiB.
2026-09-17T22:35:53Z INFO [65/500] 0302826d-9c37-4a3c-b94c-96102a524102: 17 internal nodes; 0.4 s; peak memory 135 MiB.
2026-09-17T22:35:53Z INFO [66/500] 03031657-2cbf-4b13-a8db-fd4156827e6b: 13 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:35:54Z INFO [67/500] 030392b2-952b-4f03-898f-0f8231a41b20: 58 internal nodes; 1.0 s; peak memory 135 MiB.
2026-09-17T22:35:55Z INFO [68/500] 0303b8d0-aa13-4483-a7d0-ed9d75efa221: 27 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:35:55Z INFO [69/500] 0303e5e3-5e53-43b6-93f3-265a4ce5f4da: 17 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:35:57Z INFO [70/500] 03046451-83ea-4f04-bbec-65ed978fd460: 40 internal nodes; 1.5 s; peak memory 135 MiB.
2026-09-17T22:35:58Z INFO [71/500] 03055cf2-dfa3-44c8-873d-0a8315e948df: 38 internal nodes; 0.8 s; peak memory 135 MiB.
2026-09-17T22:35:58Z INFO [72/500] 030742ac-8ded-4d25-af73-02c2874fe68b: 17 internal nodes; 0.5 s; peak memory 135 MiB.
2026-09-17T22:35:59Z INFO [73/500] 03075f58-1d38-4189-82da-006a44e06ebc: 31 internal nodes; 0.8 s; peak memory 135 MiB.
2026-09-17T22:36:00Z INFO [74/500] 0307fbaf-1a0f-4d69-ae1c-7d382011a9c4: 22 internal nodes; 0.7 s; peak memory 135 MiB.
2026-09-17T22:36:01Z INFO [75/500] 03080228-32cb-4b94-b309-1540af839cd6: 59 internal nodes; 1.1 s; peak memory 135 MiB.
2026-09-17T22:36:01Z INFO [76/500] 0308643c-a326-44d4-b5d1-4b2feb0e8af8: 26 internal nodes; 0.5 s; peak memory 135 MiB.
2026-09-17T22:36:02Z INFO [77/500] 03093050-61bc-4d81-ab79-de878c7ad9cd: 17 internal nodes; 0.5 s; peak memory 135 MiB.
