2026-09-22T12:59:50Z INFO Logging to /tmp/logs/update_2026-09-22T12-59-50Z.log.
2026-09-22T12:59:50Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-22T12:59:50Z INFO Processing 500 items (51997 already recorded).
2026-09-22T12:59:52Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:52Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-22T12:59:54Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:54Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-22T13:01:30Z INFO [38/500] 0c6d5b88-9d68-484e-8cdb-4dd598744511: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:01:30Z INFO [39/500] 0c6eedce-e3eb-4ebe-84aa-2e80b309432b: 11 internal nodes; 0.8 s; peak memory 150 MiB.
2026-09-22T13:01:31Z INFO [40/500] 0c704488-24be-4d7c-b6b2-6bea095cf3de: 13 internal nodes; 0.9 s; peak memory 150 MiB.
2026-09-22T13:01:32Z INFO [41/500] 0c704c57-b119-493a-b842-f90df44c3d5f: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:01:33Z INFO [42/500] 0c732853-4cb9-42b3-a7d2-79574755196d: 13 internal nodes; 1.2 s; peak memory 150 MiB.
2026-09-22T13:01:35Z INFO [43/500] 0c73df42-fffa-4dd4-9467-0779046a9a33: 18 internal nodes; 1.3 s; peak memory 150 MiB.
2026-09-22T13:01:36Z INFO [44/500] 0c73ee85-8fc9-4ddc-ad7d-a88bfe4e620b: 29 internal nodes; 1.5 s; peak memory 150 MiB.
2026-09-22T13:01:38Z INFO [45/500] 0c741342-6d89-4ace-99c0-afc99391cd25: 27 internal nodes; 1.3 s; peak memory 150 MiB.
2026-09-22T13:01:39Z INFO [46/500] 0c745431-bcaf-4912-b015-8f0a9e663a23: 29 internal nodes; 1.3 s; peak memory 150 MiB.
2026-09-22T13:01:40Z INFO [47/500] 0c749ee1-c4d7-483b-b4e9-ba1b7baab02a: 31 internal nodes; 1.4 s; peak memory 150 MiB.
2026-09-22T13:01:41Z INFO [48/500] 0c758475-98bf-4905-aa5d-3a7770d3c91c: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:01:42Z INFO [49/500] 0c759dce-0d25-42dd-9bdf-9d7f69ae2164: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:01:45Z INFO [50/500] 0c76eab9-8f9f-40c8-9ca2-a586b9074dd2: 63 internal nodes; 2.2 s; peak memory 151 MiB.
2026-09-22T13:01:45Z INFO [50/500] 0c76eab9-8f9f-40c8-9ca2-a586b9074dd2: checkpointed 52045 records.
2026-09-22T13:01:48Z INFO [51/500] 0c771081-e0eb-4bd1-8ea9-611483813b49: 46 internal nodes; 3.5 s; peak memory 151 MiB.
2026-09-22T13:01:55Z INFO [52/500] 0c779355-620f-4f39-9726-2ccc17096fc7: 84 internal nodes; 6.5 s; peak memory 151 MiB.
2026-09-22T13:02:04Z INFO [53/500] 0c7860a1-bee4-4e69-89c9-62eff4112bbb: 225 internal nodes; 9.1 s; peak memory 151 MiB.
2026-09-22T13:02:06Z INFO [54/500] 0c78a2ff-ed0e-413d-a7a4-915b48b362a3: 30 internal nodes; 2.2 s; peak memory 151 MiB.
2026-09-22T13:02:07Z INFO [55/500] 0c7969a6-b665-40c7-9746-745449dc1761: 17 internal nodes; 1.1 s; peak memory 151 MiB.
2026-09-22T13:02:08Z INFO [56/500] 0c7a7468-057a-4722-b475-539b064d7325: 27 internal nodes; 1.3 s; peak memory 151 MiB.
2026-09-22T13:02:11Z INFO [57/500] 0c7b9d85-cfc0-47e9-b528-90e5ea2d9aaf: 44 internal nodes; 3.0 s; peak memory 151 MiB.
2026-09-22T13:02:13Z INFO [58/500] 0c7ba3df-8404-4622-9f20-14b8daaaed7c: 27 internal nodes; 1.3 s; peak memory 151 MiB.
2026-09-22T13:02:14Z INFO [59/500] 0c7e7a39-6a3f-433b-824d-d6c7dcdc11d9: 18 internal nodes; 1.0 s; peak memory 151 MiB.
2026-09-22T13:02:16Z INFO [60/500] 0c8007ad-873a-4544-a8ae-f193e27f2994: 52 internal nodes; 2.2 s; peak memory 151 MiB.
2026-09-22T13:02:17Z INFO [61/500] 0c800d5c-a284-426c-8059-c2543d82ed32: 11 internal nodes; 1.0 s; peak memory 151 MiB.
2026-09-22T13:02:18Z INFO [62/500] 0c80b49d-c8b2-40a7-bb99-e399dce92175: 63 internal nodes; 1.5 s; peak memory 151 MiB.
2026-09-22T13:02:28Z INFO [63/500] 0c80fa5b-19ca-45a3-8cd3-df57a8b21574: 244 internal nodes; 10.0 s; peak memory 151 MiB.
2026-09-22T13:02:30Z INFO [64/500] 0c81697d-4bf4-487b-9830-9b8f647ae17b: 18 internal nodes; 1.1 s; peak memory 151 MiB.
2026-09-22T13:02:31Z INFO [65/500] 0c81b2f1-e767-4c9a-b6fe-f7ecc0720a41: 90 internal nodes; 1.2 s; peak memory 151 MiB.
2026-09-22T13:02:32Z INFO [66/500] 0c81c6e4-2323-4b7c-b62f-8ae74d23898f: 11 internal nodes; 0.8 s; peak memory 151 MiB.
2026-09-22T13:02:33Z INFO [67/500] 0c828fd4-4140-440e-b486-24f3296199e6: 28 internal nodes; 1.0 s; peak memory 151 MiB.
2026-09-22T13:02:34Z INFO [68/500] 0c8299f9-0afd-4ad6-b8e6-736541aaa6e0: 56 internal nodes; 1.7 s; peak memory 151 MiB.
2026-09-22T13:02:36Z INFO [69/500] 0c82aac9-8234-4ccd-9a2f-414c4da4d7d7: 31 internal nodes; 1.7 s; peak memory 151 MiB.
