2026-09-25T13:09:20Z INFO Logging to /tmp/logs/update_2026-09-25T13-09-20Z.log.
2026-09-25T13:09:20Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-25T13:09:20Z INFO Processing 500 items (54974 already recorded).
2026-09-25T13:11:45Z INFO [36/500] 128299c1-cff9-48e5-ac54-150bb887e33c: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:11:46Z INFO [37/500] 1282b937-4363-4147-9065-e43b50ac4c04: 13 internal nodes; 1.2 s; peak memory 260 MiB.
2026-09-25T13:11:48Z INFO [38/500] 1282c9e7-3c07-4932-b8d3-d8451ca5b9ca: 46 internal nodes; 2.1 s; peak memory 260 MiB.
2026-09-25T13:11:49Z INFO [39/500] 12838ded-9f38-444b-9537-b1dc0616347f: 17 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:11:50Z INFO [40/500] 128449c8-da61-4773-b897-e79613e09ba6: 13 internal nodes; 0.7 s; peak memory 260 MiB.
2026-09-25T13:11:51Z INFO [41/500] 12847eb3-982f-4329-b84b-a359a8cb06b6: 17 internal nodes; 1.5 s; peak memory 260 MiB.
2026-09-25T13:12:00Z INFO [42/500] 12860774-2abf-4829-94a4-6c471cf79077: 195 internal nodes; 8.7 s; peak memory 260 MiB.
2026-09-25T13:12:05Z INFO [43/500] 128612ed-d309-4a6f-908b-a0276e21a60a: 115 internal nodes; 5.3 s; peak memory 260 MiB.
2026-09-25T13:12:07Z INFO [44/500] 12864c5d-c3db-4b88-b4fc-7731a006497f: 37 internal nodes; 2.0 s; peak memory 260 MiB.
2026-09-25T13:12:08Z INFO [45/500] 12874cea-a6ae-4ddc-9e38-404734c43cfb: 27 internal nodes; 1.4 s; peak memory 260 MiB.
2026-09-25T13:12:13Z INFO [46/500] 1287ad48-dc21-43de-8aff-8d2748057517: 41 internal nodes; 4.2 s; peak memory 260 MiB.
2026-09-25T13:12:23Z INFO [47/500] 128811a2-a194-49d5-a32a-69ab794efd9b: 317 internal nodes; 10.8 s; peak memory 260 MiB.
2026-09-25T13:12:24Z INFO [48/500] 128833a9-11ad-4e82-8482-cb0e2ad7a9f5: 18 internal nodes; 1.0 s; peak memory 260 MiB.
2026-09-25T13:12:27Z INFO [49/500] 1288b258-c0e9-4ca4-8932-f9f4646ff637: 29 internal nodes; 2.2 s; peak memory 260 MiB.
2026-09-25T13:12:29Z INFO [50/500] 12897cf0-7eda-4f90-b230-042c4b56ea1d: 55 internal nodes; 2.8 s; peak memory 260 MiB.
2026-09-25T13:12:30Z INFO [50/500] 12897cf0-7eda-4f90-b230-042c4b56ea1d: checkpointed 55019 records.
2026-09-25T13:12:31Z INFO [51/500] 1289cbd3-913c-41f6-b77e-19a29777ab86: 29 internal nodes; 1.8 s; peak memory 260 MiB.
2026-09-25T13:12:33Z INFO [52/500] 1289e785-6978-4744-bbb4-4e7d1870f58d: 19 internal nodes; 1.3 s; peak memory 260 MiB.
2026-09-25T13:12:36Z INFO [53/500] 1289e869-bdbf-4d40-8d6f-ddab37aaeba9: 44 internal nodes; 3.0 s; peak memory 260 MiB.
2026-09-25T13:12:36Z INFO [54/500] 128a5e3f-25bb-4d3e-bcaa-3a1b9b9db424: 11 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:12:37Z INFO [55/500] 128a790d-f92f-411d-a219-b2a32efa43aa: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:12:51Z INFO [56/500] 128b6b86-cd95-4023-9a56-45bee98a1b02: 1835 internal nodes; 13.3 s; peak memory 260 MiB.
2026-09-25T13:12:52Z INFO [57/500] 128b9d28-eef5-4b53-ad46-f890393a2165: 26 internal nodes; 1.0 s; peak memory 260 MiB.
2026-09-25T13:12:53Z INFO [58/500] 128c2c70-f587-48ca-8f53-4b397a167c7c: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:12:54Z INFO [59/500] 128c2ef4-8b91-4069-a068-8842eb4f0a46: 22 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:12:55Z INFO [60/500] 128c32f5-1de2-4d3e-8adb-ec23d5bb9819: 83 internal nodes; 1.4 s; peak memory 260 MiB.
2026-09-25T13:12:56Z INFO [61/500] 128d6b9b-567e-49f3-be1d-d1ed9ed828ef: 116 internal nodes; 1.2 s; peak memory 260 MiB.
2026-09-25T13:12:58Z INFO [62/500] 128e00f6-0769-4277-aaa4-ab9cf443110d: 31 internal nodes; 1.5 s; peak memory 260 MiB.
2026-09-25T13:12:59Z INFO [63/500] 128eba19-f93e-4f73-b306-093b4dea676d: 11 internal nodes; 0.7 s; peak memory 260 MiB.
2026-09-25T13:13:00Z INFO [64/500] 1290de9e-ff25-4534-8ad2-64908f9dcc4a: 27 internal nodes; 1.9 s; peak memory 260 MiB.
2026-09-25T13:13:01Z INFO [65/500] 1291e0c0-22db-439a-b033-e3c77f02527f: 21 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:13:02Z INFO [66/500] 1292574a-6ba9-4800-b6fb-e241db3f6833: 58 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:13:04Z INFO [67/500] 1292d6c6-7ddc-442e-8dde-7b3d5235a3de: 31 internal nodes; 1.3 s; peak memory 260 MiB.
2026-09-25T13:13:05Z INFO [68/500] 1292d6f5-5233-4410-86b0-e264efd93419: 29 internal nodes; 1.4 s; peak memory 260 MiB.
2026-09-25T13:13:06Z INFO [69/500] 1292e86b-d3f9-4339-8db1-2d4f32991cb5: 27 internal nodes; 1.2 s; peak memory 260 MiB.
2026-09-25T13:13:09Z INFO [70/500] 12937b49-7e20-4f1d-825c-e1a4c4845eea: 44 internal nodes; 3.0 s; peak memory 260 MiB.
2026-09-25T13:13:11Z INFO [71/500] 129420b8-cc3c-4ee7-bebb-6263b92f417e: 27 internal nodes; 1.5 s; peak memory 260 MiB.
2026-09-25T13:13:12Z INFO [72/500] 1294d09a-25be-4dc7-b1c6-f7de92a05c70: 29 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:13:13Z INFO [73/500] 1294d69e-e19d-47b8-80a6-ce816f2df700: 53 internal nodes; 1.5 s; peak memory 260 MiB.
2026-09-25T13:13:14Z INFO [74/500] 12974b9b-d644-4d93-a062-d93f83527331: 11 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:13:15Z INFO [75/500] 129763d1-9fc7-4a67-86ea-ab736d01feaa: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:13:17Z INFO [76/500] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: 30 internal nodes; 1.6 s; peak memory 260 MiB.
2026-09-25T13:14:01Z INFO [77/500] 12993b3c-8ee6-4f05-a7c9-78bfe1c156b5: 3538 internal nodes; 43.8 s; peak memory 336 MiB.
2026-09-25T13:14:03Z INFO [78/500] 12995456-f6c0-455d-891c-37b9ebcf5cfe: 31 internal nodes; 1.9 s; peak memory 336 MiB.
2026-09-25T13:14:04Z INFO [79/500] 12997001-0b2b-48c0-9385-3b1363974296: 22 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:14:05Z INFO [80/500] 12998c30-8061-474d-8795-91c8761f9eed: 23 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:14:13Z INFO [81/500] 1299e442-2bf9-44e8-96ea-5859793b42a6: 161 internal nodes; 8.4 s; peak memory 336 MiB.
2026-09-25T13:14:15Z INFO [82/500] 129a6037-8f9c-4b9e-8059-69234e3f03ca: 25 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:14:17Z INFO [83/500] 129aad8c-9462-4cec-8135-e2942ac22fc4: 31 internal nodes; 1.8 s; peak memory 336 MiB.
2026-09-25T13:14:18Z INFO [84/500] 129aff73-56eb-4c5e-aa22-f529c53971de: 18 internal nodes; 1.2 s; peak memory 336 MiB.
2026-09-25T13:14:28Z INFO [85/500] 129bb052-13cd-42f5-bf90-9b36bcf03d3c: 197 internal nodes; 9.8 s; peak memory 336 MiB.
2026-09-25T13:14:30Z INFO [86/500] 129bdaf9-15c6-47f9-ac91-d062cb3271c4: 27 internal nodes; 2.3 s; peak memory 336 MiB.
2026-09-25T13:14:31Z INFO [87/500] 129c0f12-95b4-4f59-aa7c-a09a69454b4f: 19 internal nodes; 1.2 s; peak memory 336 MiB.
2026-09-25T13:14:33Z INFO [88/500] 129c8b2a-c7d2-4d75-a1e6-d0778cce4737: 115 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:14:49Z INFO [89/500] 129cb6b3-4257-49a8-8545-c568c75d6ec2: 137 internal nodes; 16.5 s; peak memory 336 MiB.
2026-09-25T13:14:50Z INFO [90/500] 129ccdd9-7656-4bd7-9804-1466256bf597: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:14:51Z INFO [91/500] 129d4d0d-25b7-464b-9502-00a13e39051f: 11 internal nodes; 0.8 s; peak memory 336 MiB.
2026-09-25T13:15:06Z INFO [92/500] 129d6ec8-a060-474e-9d8c-a46048964c3d: 218 internal nodes; 15.1 s; peak memory 336 MiB.
2026-09-25T13:15:09Z INFO [93/500] 129de5a2-ac65-4444-abf2-c6ea3e88485a: 55 internal nodes; 3.1 s; peak memory 336 MiB.
2026-09-25T13:15:10Z INFO [94/500] 129e8555-fd09-4fd5-8e72-c4fc25e3def7: 17 internal nodes; 1.0 s; peak memory 336 MiB.
