2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T22:58:59Z INFO [38/500] 0b690596-58ec-4936-8d57-64ae7fd2c548: 289 internal nodes; 8.8 s; peak memory 140 MiB.
2026-09-21T22:59:00Z INFO [39/500] 0b6971ab-fee4-4331-81ae-b8efd24a227d: 67 internal nodes; 1.8 s; peak memory 140 MiB.
2026-09-21T22:59:02Z INFO [40/500] 0b6aefac-2c7a-4600-9981-07cb99993067: 29 internal nodes; 1.5 s; peak memory 140 MiB.
2026-09-21T22:59:08Z INFO [41/500] 0b6b57ee-6770-400d-bc83-9846a121ae4b: 73 internal nodes; 6.1 s; peak memory 140 MiB.
2026-09-21T22:59:11Z INFO [42/500] 0b6b7362-b5ac-40c6-8ca3-7f66b662e269: 44 internal nodes; 2.6 s; peak memory 140 MiB.
2026-09-21T22:59:18Z INFO [43/500] 0b6b9c26-7db8-4550-9e8e-efef71397fa3: 172 internal nodes; 6.9 s; peak memory 140 MiB.
2026-09-21T22:59:19Z INFO [44/500] 0b6c6a33-f400-4f68-bca2-e8297f647599: 22 internal nodes; 1.3 s; peak memory 140 MiB.
2026-09-21T22:59:25Z INFO [45/500] 0b6de141-5af5-4d19-9536-d22cb9ee9621: 59 internal nodes; 6.4 s; peak memory 140 MiB.
2026-09-21T22:59:26Z INFO [46/500] 0b6e2a14-138c-4c60-aa53-1e0a55cef5c2: 17 internal nodes; 1.0 s; peak memory 140 MiB.
2026-09-21T22:59:28Z INFO [47/500] 0b6f2098-f103-414d-8ef1-b1fbc32c54eb: 44 internal nodes; 1.9 s; peak memory 140 MiB.
2026-09-21T22:59:29Z INFO [48/500] 0b6fd0e9-b5dd-4fe4-b51d-8b1e645e1623: 17 internal nodes; 0.9 s; peak memory 140 MiB.
2026-09-21T22:59:40Z INFO [49/500] 0b700897-cb53-49eb-89f1-fbaea9894c1e: 184 internal nodes; 10.7 s; peak memory 140 MiB.
2026-09-21T22:59:43Z INFO [50/500] 0b703e93-1d7f-4d99-9331-472b7c528156: 44 internal nodes; 2.8 s; peak memory 140 MiB.
2026-09-21T22:59:43Z INFO [50/500] 0b703e93-1d7f-4d99-9331-472b7c528156: checkpointed 51547 records.
2026-09-21T22:59:45Z INFO [51/500] 0b70791e-752e-47aa-a3b5-56daab030ab5: 23 internal nodes; 1.8 s; peak memory 140 MiB.
2026-09-21T22:59:45Z INFO [52/500] 0b718911-e114-47c8-85a5-8cf7be84a2c6: 21 internal nodes; 0.8 s; peak memory 140 MiB.
2026-09-21T22:59:55Z INFO [53/500] 0b71a3f1-213f-4719-9b64-db3a97b26444: 255 internal nodes; 9.7 s; peak memory 141 MiB.
2026-09-21T22:59:58Z INFO [54/500] 0b722f97-7ffe-48d2-a8fc-895d8b68b3bc: 44 internal nodes; 2.6 s; peak memory 141 MiB.
