2026-09-21T14:44:32Z INFO Logging to /tmp/logs/update_2026-09-21T14-44-32Z.log.
2026-09-21T14:44:32Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T14:44:33Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:44:34Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:44:34Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:44:35Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:44:35Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:47:29Z INFO [100/500] 0a7756d8-a4b2-4027-8125-c7ea6a661689: 26 internal nodes; 1.3 s; peak memory 302 MiB.
2026-09-21T14:47:29Z INFO [100/500] 0a7756d8-a4b2-4027-8125-c7ea6a661689: checkpointed 51099 records.
2026-09-21T14:47:32Z INFO [101/500] 0a77ad71-a42a-4870-ad7d-259dc0aa2cdf: 46 internal nodes; 2.5 s; peak memory 302 MiB.
2026-09-21T14:47:33Z INFO [102/500] 0a78d4c6-2e47-4c32-a839-8307b9facaca: 17 internal nodes; 0.7 s; peak memory 302 MiB.
2026-09-21T14:47:33Z INFO [103/500] 0a792a0e-0484-4d83-963d-d0016d3e0ad5: 17 internal nodes; 0.5 s; peak memory 302 MiB.
2026-09-21T14:47:34Z INFO [104/500] 0a797f79-5b2d-49e8-aff9-bf53e378a0de: 27 internal nodes; 0.9 s; peak memory 302 MiB.
2026-09-21T14:47:37Z INFO [105/500] 0a7b563c-3781-49c6-93e9-ba671709f500: 73 internal nodes; 3.4 s; peak memory 302 MiB.
2026-09-21T14:47:42Z INFO [106/500] 0a7b7dd6-2675-41e5-8251-a1244b364328: 61 internal nodes; 4.1 s; peak memory 302 MiB.
2026-09-21T14:47:42Z INFO [107/500] 0a7bb020-d04c-4956-9407-7e71a1433918: 17 internal nodes; 0.6 s; peak memory 302 MiB.
2026-09-21T14:47:43Z INFO [108/500] 0a7cb91e-5e6b-4856-bf64-ac1b07888439: 17 internal nodes; 0.8 s; peak memory 302 MiB.
2026-09-21T14:47:45Z INFO [109/500] 0a7d0d2c-3641-4a88-9230-79e957d312f0: 45 internal nodes; 2.1 s; peak memory 302 MiB.
2026-09-21T14:47:46Z INFO [110/500] 0a7dc89c-1423-4b94-8c13-d3b264ad0efa: 18 internal nodes; 0.6 s; peak memory 302 MiB.
2026-09-21T14:47:47Z INFO [111/500] 0a7dd5bc-1456-43ea-bc3d-9d996a1da34f: 31 internal nodes; 0.9 s; peak memory 302 MiB.
2026-09-21T14:47:48Z INFO [112/500] 0a7ddf3f-95f3-43d4-ab54-d2c9414b2e21: 32 internal nodes; 1.4 s; peak memory 302 MiB.
2026-09-21T14:48:16Z INFO [113/500] 0a7f0a16-6600-4837-95f6-b976849e60e4: 1753 internal nodes; 27.8 s; peak memory 363 MiB.
2026-09-21T14:48:21Z INFO [114/500] 0a7f10dc-be3f-40f4-9f0b-307043658548: 168 internal nodes; 5.7 s; peak memory 363 MiB.
