2026-09-18T12:34:04Z INFO Logging to /tmp/logs/update_2026-09-18T12-34-04Z.log.
2026-09-18T12:34:05Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T12:34:05Z INFO Processing 500 items (48009 already recorded).
2026-09-18T12:35:39Z INFO [33/500] 04088a39-9b8c-4a1c-9f4f-609ed30558a5: 18 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-18T12:35:40Z INFO [34/500] 04091514-a070-45b5-9f6c-5b9285b06abc: 17 internal nodes; 1.0 s; peak memory 154 MiB.
2026-09-18T12:35:43Z INFO [35/500] 0409f816-1b0a-4cf2-835c-8fdf379b07e0: 46 internal nodes; 3.7 s; peak memory 154 MiB.
2026-09-18T12:35:45Z INFO [36/500] 040a16d3-04c1-4896-a86c-fc11027001bb: 31 internal nodes; 1.6 s; peak memory 154 MiB.
2026-09-18T12:35:46Z INFO [37/500] 040af6b3-261c-4a9a-af2d-09623042e8a3: 25 internal nodes; 1.0 s; peak memory 154 MiB.
2026-09-18T12:35:51Z INFO [38/500] 040b175a-4749-4170-ada0-0acd72898c83: 113 internal nodes; 5.5 s; peak memory 154 MiB.
2026-09-18T12:35:52Z INFO [39/500] 040c6f22-076e-43a2-92a7-33b665ded9aa: 17 internal nodes; 1.2 s; peak memory 154 MiB.
2026-09-18T12:35:54Z INFO [40/500] 040c81b9-7280-4477-89b9-341f7bfcf136: 25 internal nodes; 1.5 s; peak memory 154 MiB.
2026-09-18T12:35:56Z INFO [41/500] 040d11bc-7488-485c-97ab-450270cb7038: 27 internal nodes; 1.6 s; peak memory 154 MiB.
2026-09-18T12:35:59Z INFO [42/500] 040e2150-3b3d-4ba6-ad77-3844054e6e04: 45 internal nodes; 3.4 s; peak memory 154 MiB.
2026-09-18T12:36:01Z INFO [43/500] 040e7538-83e9-4ed1-8ff8-02e6197acdef: 37 internal nodes; 2.1 s; peak memory 154 MiB.
2026-09-18T12:36:04Z INFO [44/500] 040ea6d2-8173-4163-88b7-d20d8cbcc84b: 52 internal nodes; 2.6 s; peak memory 154 MiB.
2026-09-18T12:36:05Z INFO [45/500] 040f1b34-6a6f-4977-aea8-2bc8cd15672a: 17 internal nodes; 1.2 s; peak memory 154 MiB.
2026-09-18T12:36:06Z INFO [46/500] 040fa6db-790b-4173-8e4b-a1f6263faae8: 17 internal nodes; 1.2 s; peak memory 154 MiB.
2026-09-18T12:36:08Z INFO [47/500] 040fe4a2-b68d-45f1-8917-7e268e4c1bb5: 31 internal nodes; 1.9 s; peak memory 154 MiB.
2026-09-18T12:36:10Z INFO [48/500] 04101508-fc42-4b17-b649-57d526c63970: 29 internal nodes; 1.7 s; peak memory 154 MiB.
2026-09-18T12:36:11Z INFO [49/500] 04105ca6-adac-4d66-931a-71110f282c40: 37 internal nodes; 1.8 s; peak memory 154 MiB.
2026-09-18T12:36:13Z INFO [50/500] 0410f1c4-cc37-4061-825b-74d81cea2d47: 17 internal nodes; 1.2 s; peak memory 154 MiB.
2026-09-18T12:36:13Z INFO [50/500] 0410f1c4-cc37-4061-825b-74d81cea2d47: checkpointed 48058 records.
2026-09-18T12:36:15Z INFO [51/500] 0410f467-a5e0-400c-a3bb-0243940981ed: 38 internal nodes; 1.9 s; peak memory 154 MiB.
2026-09-18T12:36:16Z INFO [52/500] 04118057-9583-45ed-aacf-e18ce7d12c24: 27 internal nodes; 1.5 s; peak memory 154 MiB.
2026-09-18T12:36:18Z INFO [53/500] 0411ca6e-46a7-437e-ae88-7396d02346a3: 56 internal nodes; 1.7 s; peak memory 154 MiB.
2026-09-18T12:36:19Z INFO [54/500] 04126e16-fcc7-4aaa-b1ac-41a7c403e0de: 62 internal nodes; 1.4 s; peak memory 154 MiB.
2026-09-18T12:36:21Z INFO [55/500] 0412fcd6-db78-4fe7-969a-d68057efc857: 11 internal nodes; 1.3 s; peak memory 154 MiB.
2026-09-18T12:36:22Z INFO [56/500] 04131a37-e764-4c41-9096-919025498ac0: 53 internal nodes; 1.7 s; peak memory 154 MiB.
2026-09-18T12:36:24Z INFO [57/500] 04134c04-d8df-4199-8aa4-1efc80e2c762: 24 internal nodes; 1.7 s; peak memory 154 MiB.
2026-09-18T12:36:25Z INFO [58/500] 04138758-e2cf-4d34-9748-57274c4cd6fd: 17 internal nodes; 1.2 s; peak memory 154 MiB.
2026-09-18T12:36:27Z INFO [59/500] 04148fb8-3f59-4d72-8b87-c396e73d22a2: 27 internal nodes; 1.6 s; peak memory 154 MiB.
2026-09-18T12:36:27Z INFO [60/500] 04160d0d-bcec-4d5f-babc-a933b221a5d9: 13 internal nodes; 0.8 s; peak memory 154 MiB.
2026-09-18T12:36:41Z INFO [61/500] 0416ebae-6f76-4c22-9f27-aa279d7bc605: 75 internal nodes; 13.8 s; peak memory 154 MiB.
2026-09-18T12:36:44Z INFO [62/500] 041719c6-30aa-4ab9-b102-29cf91da8aac: 72 internal nodes; 2.4 s; peak memory 154 MiB.
2026-09-18T12:36:45Z INFO [63/500] 04174954-1625-45d1-b010-2ec8458789cf: 11 internal nodes; 0.9 s; peak memory 154 MiB.
2026-09-18T12:36:46Z INFO [64/500] 04188e1e-e7ed-4560-ba73-1db275be94f0: 27 internal nodes; 1.4 s; peak memory 154 MiB.
2026-09-18T12:36:47Z INFO [65/500] 04195ac4-e252-40b5-854f-a21dbb377e5b: 27 internal nodes; 1.4 s; peak memory 154 MiB.
2026-09-18T12:36:49Z INFO [66/500] 04195f39-6218-47b7-a65c-73551994e009: 27 internal nodes; 1.6 s; peak memory 154 MiB.
2026-09-18T12:36:50Z INFO [67/500] 04199cfc-fa8e-49ef-990b-261ebcda6483: 18 internal nodes; 1.3 s; peak memory 154 MiB.
2026-09-18T12:37:00Z INFO [68/500] 041adc77-3c69-4946-93be-2fbcba178470: 44 internal nodes; 9.4 s; peak memory 224 MiB.
2026-09-18T12:37:03Z INFO [69/500] 041aeb76-9e78-4dbe-9b3d-266f8c49b617: 44 internal nodes; 3.1 s; peak memory 224 MiB.
2026-09-18T12:37:04Z INFO [70/500] 041bc39d-b099-449d-84aa-e6c95cc13e88: 26 internal nodes; 1.0 s; peak memory 224 MiB.
2026-09-18T12:37:23Z INFO [71/500] 041ca28c-8e8d-4260-8132-c921d2517200: 1193 internal nodes; 19.3 s; peak memory 249 MiB.
2026-09-18T12:37:24Z INFO [72/500] 041d4469-901d-4870-8ecd-1f5e716ad8a7: 22 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:37:27Z INFO [73/500] 041e17b9-2d33-48d5-bdc0-be285616be2c: 53 internal nodes; 2.7 s; peak memory 249 MiB.
2026-09-18T12:37:29Z INFO [74/500] 041e1bb1-c760-4486-8f27-810ba4348264: 27 internal nodes; 1.5 s; peak memory 249 MiB.
2026-09-18T12:37:30Z INFO [75/500] 042061ff-5173-4a8a-9821-fac7da00f1cf: 13 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:37:32Z INFO [76/500] 04209800-b421-4d86-8b55-b28dc7a8c625: 31 internal nodes; 1.7 s; peak memory 249 MiB.
2026-09-18T12:37:40Z INFO [77/500] 0421fef9-c661-4e8f-96c2-ddc3c2176b75: 202 internal nodes; 8.4 s; peak memory 249 MiB.
2026-09-18T12:37:41Z INFO [78/500] 0422a7d7-58b8-4112-9d6b-fee0b754ad77: 17 internal nodes; 1.2 s; peak memory 249 MiB.
