2026-09-19T21:59:52Z INFO Logging to /tmp/logs/update_2026-09-19T21-59-52Z.log.
2026-09-19T21:59:52Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T21:59:52Z INFO Processing 500 items (49506 already recorded).
2026-09-19T21:59:53Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T22:00:34Z INFO [34/500] 073834d2-6ec5-47a4-9c1c-0d43b3f0aec8: 11 internal nodes; 0.3 s; peak memory 225 MiB.
2026-09-19T22:00:34Z INFO [35/500] 07387a8a-1e7a-4f5b-9cdb-f0a7c0c34bec: 17 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:35Z INFO [36/500] 07389290-f0e4-47f1-80f5-3f10a4e3d0a0: 17 internal nodes; 0.4 s; peak memory 225 MiB.
2026-09-19T22:00:35Z INFO [37/500] 07394f4f-9319-4c8e-8941-bed9af9dfb87: 11 internal nodes; 0.4 s; peak memory 225 MiB.
2026-09-19T22:00:36Z INFO [38/500] 07395998-ace3-4f88-9238-93d2114ca561: 31 internal nodes; 0.6 s; peak memory 225 MiB.
2026-09-19T22:00:36Z INFO [39/500] 0739aee1-139d-4315-842b-2346717f1993: 19 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:37Z INFO [40/500] 0739c079-730e-4f94-8968-ac8a762e87a9: 17 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:37Z INFO [41/500] 073bbac3-923c-40f8-b818-7e939c11fbd2: 17 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:38Z INFO [42/500] 073d3d29-6a7e-493c-b0e9-a18fb8110c86: 28 internal nodes; 0.8 s; peak memory 225 MiB.
2026-09-19T22:00:42Z INFO [43/500] 073d521e-5655-4ede-ae1d-3a0fb7723ade: 225 internal nodes; 4.2 s; peak memory 225 MiB.
2026-09-19T22:00:42Z INFO [44/500] 073d5f1f-1329-4b2b-9407-e256fb9940dd: 17 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:43Z INFO [45/500] 073d6127-2f57-43dd-a84d-5974eccb2400: 22 internal nodes; 0.4 s; peak memory 225 MiB.
2026-09-19T22:00:43Z INFO [46/500] 073e8b63-a118-4530-9528-d57ae054fe03: 11 internal nodes; 0.3 s; peak memory 225 MiB.
2026-09-19T22:00:44Z INFO [47/500] 073f07fe-770a-4c15-9198-b494aad96e92: 13 internal nodes; 0.5 s; peak memory 225 MiB.
2026-09-19T22:00:57Z INFO [48/500] 073fab4a-745c-42ae-bb18-c5dfac413f18: 1686 internal nodes; 13.1 s; peak memory 305 MiB.
2026-09-19T22:00:58Z INFO [49/500] 073fc345-4dc7-4550-826c-932df63a1c8f: 65 internal nodes; 0.9 s; peak memory 305 MiB.
2026-09-19T22:00:58Z INFO [50/500] 07403379-4e25-4a8d-949c-da85153d82ca: 13 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:00:58Z INFO [50/500] 07403379-4e25-4a8d-949c-da85153d82ca: checkpointed 49555 records.
2026-09-19T22:00:59Z INFO [51/500] 07409f96-5db8-481c-835f-5e44a5d9e2e5: 61 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:01:00Z INFO [52/500] 07413bc3-193c-4bc6-af16-d64577159d0d: 17 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:01:01Z INFO [53/500] 07419366-d1ce-44d8-92ea-5bc81a3770a5: 46 internal nodes; 1.2 s; peak memory 305 MiB.
2026-09-19T22:01:02Z INFO [54/500] 07423052-6e3e-46dc-8468-c875a7e94260: 44 internal nodes; 1.0 s; peak memory 305 MiB.
2026-09-19T22:01:06Z INFO [55/500] 07426c15-123e-47f6-a5c8-72ea9790ee0d: 208 internal nodes; 4.3 s; peak memory 305 MiB.
2026-09-19T22:01:07Z INFO [56/500] 07427eec-fdea-4959-b88b-107347957ea8: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:07Z INFO [57/500] 0742bdef-666d-422b-a375-1fec0feb0166: 17 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:01:08Z INFO [58/500] 0742d926-1ded-4182-81b1-11b3a9fac04d: 27 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:08Z INFO [59/500] 0743524a-37ad-4930-b01a-d7d80419615f: 27 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:09Z INFO [60/500] 0743ebf1-1a58-48c8-b7d2-0538d3c8f769: 95 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:10Z INFO [61/500] 0744f0b8-0d03-44c2-b20e-d4614ead0a24: 16 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:10Z INFO [62/500] 07457fae-8cd5-4caf-8115-5fbef6e8bf68: 27 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:13Z INFO [63/500] 07459460-c253-4db1-b030-50e542edec2d: 41 internal nodes; 3.1 s; peak memory 305 MiB.
2026-09-19T22:01:14Z INFO [64/500] 0746aa17-7740-4f69-8651-710195be2827: 67 internal nodes; 0.8 s; peak memory 305 MiB.
2026-09-19T22:01:15Z INFO [65/500] 074702ff-f65d-4938-9413-dcd8db3b2005: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:16Z INFO [66/500] 0747af25-6590-4a8c-9f6f-0b2c9658c558: 31 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:16Z INFO [67/500] 0748c348-52c5-44eb-bdab-2a36d41c76ee: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:17Z INFO [68/500] 074927a7-271c-4a14-8046-2d56acc8f150: 61 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:01:17Z INFO [69/500] 074a134e-8d86-465e-aebc-4c5edda77b35: 115 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:18Z INFO [70/500] 074a552f-0115-4aa2-a401-f8f1dbfb08e9: 19 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:18Z INFO [71/500] 074a7171-6039-46d4-aee0-01b167730558: 27 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:01:19Z INFO [72/500] 074a7c8c-db1a-4808-8139-4ee0409c9319: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:19Z INFO [73/500] 074ba1ad-768f-41a8-8d68-626120e0b38b: 16 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:20Z INFO [74/500] 074bbce5-ac67-423e-bfa6-b6421580bd5a: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:20Z INFO [75/500] 074c1c05-9dd7-44a6-909f-0a38431eef44: 22 internal nodes; 0.4 s; peak memory 305 MiB.
2026-09-19T22:01:22Z INFO [76/500] 074c3b3b-601b-4da7-b144-fda3f6a34f75: 46 internal nodes; 1.5 s; peak memory 305 MiB.
2026-09-19T22:01:23Z INFO [77/500] 074cd1df-6326-43bf-9603-d57c05838e23: 44 internal nodes; 1.6 s; peak memory 305 MiB.
2026-09-19T22:01:24Z INFO [78/500] 074cdbd8-019e-4f2c-b92a-b3cd632159a1: 31 internal nodes; 1.0 s; peak memory 305 MiB.
2026-09-19T22:01:28Z INFO [79/500] 074cf84e-cd59-45a3-9ac2-672052ff2605: 174 internal nodes; 3.8 s; peak memory 305 MiB.
2026-09-19T22:01:29Z INFO [80/500] 074cff72-0d5d-4eef-b9e6-666d745ba78a: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:32Z INFO [81/500] 074d8f7c-fed3-4a32-919c-26346f21a8af: 177 internal nodes; 3.3 s; peak memory 305 MiB.
2026-09-19T22:01:33Z INFO [82/500] 074de621-78c7-4319-a08c-64588dc0f767: 31 internal nodes; 0.8 s; peak memory 305 MiB.
2026-09-19T22:01:34Z INFO [83/500] 074e26b3-d11b-4463-bbf1-eb0f615c35fd: 57 internal nodes; 1.1 s; peak memory 305 MiB.
2026-09-19T22:01:35Z INFO [84/500] 074e772c-2558-48f8-8a3d-ec21f02afb3f: 72 internal nodes; 1.1 s; peak memory 305 MiB.
2026-09-19T22:01:35Z INFO [85/500] 074fa7c3-08c4-4510-8f1f-b7dc04d6077f: 11 internal nodes; 0.4 s; peak memory 305 MiB.
2026-09-19T22:01:38Z INFO [86/500] 074fb38d-8f97-437d-9e49-df2bf8330594: 55 internal nodes; 2.3 s; peak memory 305 MiB.
2026-09-19T22:01:41Z INFO [87/500] 07503ca0-7693-4ccb-81fa-a827eac35250: 81 internal nodes; 3.0 s; peak memory 305 MiB.
2026-09-19T22:01:44Z INFO [88/500] 0750e8f3-5e8a-4c42-aad4-303e0c61400c: 61 internal nodes; 3.2 s; peak memory 305 MiB.
2026-09-19T22:01:45Z INFO [89/500] 07517ec6-ffd1-4c7d-9e45-6390bab8baf1: 53 internal nodes; 0.9 s; peak memory 305 MiB.
2026-09-19T22:01:45Z INFO [90/500] 07521bf9-5f59-4cba-a716-ae822b8ba8b4: 115 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:46Z INFO [91/500] 0752b896-4305-4d06-af73-6884e7d39df8: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:49Z INFO [92/500] 0752f0da-e95d-4054-8e40-ecd54108c951: 73 internal nodes; 2.7 s; peak memory 305 MiB.
2026-09-19T22:01:49Z INFO [93/500] 07536aa9-7d6c-4e88-bd88-1d9517b4cb3a: 27 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:53Z INFO [94/500] 07541557-74db-443c-b8d4-6d8d2978f08c: 190 internal nodes; 3.9 s; peak memory 305 MiB.
2026-09-19T22:01:53Z INFO [95/500] 07544e97-08eb-4cd3-a8d6-db2ba4556544: 13 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:54Z INFO [96/500] 075492ee-8235-4128-bda0-edf90b5986bd: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:54Z INFO [97/500] 0754dafe-459c-4823-9d00-5d670ce165a3: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:01:55Z INFO [98/500] 075519f8-98db-4d07-b118-768869f770aa: 19 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:56Z INFO [99/500] 075656cd-6a00-4619-bc60-80be5a605f33: 27 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:01:56Z INFO [100/500] 0756fa1a-bf6b-4647-a0b5-11c35510ec55: 17 internal nodes; 0.4 s; peak memory 305 MiB.
2026-09-19T22:01:56Z INFO [100/500] 0756fa1a-bf6b-4647-a0b5-11c35510ec55: checkpointed 49605 records.
2026-09-19T22:01:57Z INFO [101/500] 0758504e-115e-4c77-a84d-6ed9140fd392: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:02:01Z INFO [102/500] 07587f38-19c8-4b3c-9f6f-e8e70f1dbf68: 183 internal nodes; 4.0 s; peak memory 305 MiB.
2026-09-19T22:02:02Z INFO [103/500] 0758df8d-7eaf-4318-82df-7cdfa27f1988: 67 internal nodes; 0.8 s; peak memory 305 MiB.
2026-09-19T22:02:02Z INFO [104/500] 0758e09f-7f0b-4d58-b0f9-4c887926f01b: 11 internal nodes; 0.3 s; peak memory 305 MiB.
2026-09-19T22:02:03Z INFO [105/500] 0758e696-430d-4519-a807-d9b33f800b11: 58 internal nodes; 0.6 s; peak memory 305 MiB.
2026-09-19T22:02:03Z INFO [106/500] 07592932-5fe2-460a-a89e-c98bc2a4eec6: 16 internal nodes; 0.4 s; peak memory 305 MiB.
2026-09-19T22:02:03Z INFO [107/500] 0759660a-ea15-427d-9d30-c52e673467d0: 11 internal nodes; 0.4 s; peak memory 305 MiB.
2026-09-19T22:02:05Z INFO [108/500] 0759cf7c-abf0-4582-ab48-2e8196b0c069: 41 internal nodes; 1.3 s; peak memory 305 MiB.
2026-09-19T22:02:06Z INFO [109/500] 075a3802-7434-4c93-91a0-aeda25695ac3: 44 internal nodes; 1.5 s; peak memory 305 MiB.
2026-09-19T22:02:07Z INFO [110/500] 075a66a5-81c2-4a1f-bc55-03203bcd92ce: 30 internal nodes; 0.7 s; peak memory 305 MiB.
2026-09-19T22:02:07Z INFO [111/500] 075a6c60-b4c2-4459-af51-2cdd73088430: 17 internal nodes; 0.5 s; peak memory 305 MiB.
2026-09-19T22:02:29Z INFO [112/500] 075a7f4d-14f7-4c00-abd6-77b2420138c8: 2829 internal nodes; 22.0 s; peak memory 341 MiB.
2026-09-19T22:02:30Z INFO [113/500] 075aad05-aeba-4425-bf4b-7d00633417a3: 14 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:33Z INFO [114/500] 075af0bb-772e-4c90-b8ec-108485f1c83c: 118 internal nodes; 3.0 s; peak memory 341 MiB.
2026-09-19T22:02:34Z INFO [115/500] 075b7169-f709-4c34-8ef9-17fc53d37e5e: 45 internal nodes; 1.4 s; peak memory 341 MiB.
2026-09-19T22:02:38Z INFO [116/500] 075c0e43-9f53-46de-a291-ef6809029819: 41 internal nodes; 3.7 s; peak memory 341 MiB.
2026-09-19T22:02:39Z INFO [117/500] 075d4ed5-a566-4121-a011-e569905554ef: 37 internal nodes; 0.7 s; peak memory 341 MiB.
