2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:12:26Z INFO [39/500] 062d8774-c470-46c3-a0cb-472cf1f6211a: 39 internal nodes; 0.9 s; peak memory 144 MiB.
2026-09-19T12:12:27Z INFO [40/500] 062e37b3-c1ea-4369-92a8-3305988befaf: 43 internal nodes; 1.3 s; peak memory 144 MiB.
2026-09-19T12:12:28Z INFO [41/500] 062f0519-96fe-4124-b590-fd18d34c28fa: 31 internal nodes; 0.7 s; peak memory 144 MiB.
2026-09-19T12:12:29Z INFO [42/500] 062f71af-977a-4570-aadf-0d53c7fcaf34: 60 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:12:29Z INFO [43/500] 0630e495-2357-4782-ace1-0413c4179f74: 27 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:30Z INFO [44/500] 06315c81-1db7-4a5e-a867-725faef7b3e1: 31 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:30Z INFO [45/500] 0631c5ab-cfb0-446a-a8d6-015217a58bdf: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:12:31Z INFO [46/500] 063234d5-8191-4727-9b6f-320bdbae42fb: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:32Z INFO [47/500] 0633997c-909e-4a6f-8fe2-43742d96d394: 44 internal nodes; 1.1 s; peak memory 144 MiB.
2026-09-19T12:12:37Z INFO [48/500] 06342620-0d87-4635-8e61-bf806bfbf1ae: 347 internal nodes; 5.1 s; peak memory 144 MiB.
2026-09-19T12:12:38Z INFO [49/500] 06357054-2c64-4fdf-81de-d511f5ee1124: 18 internal nodes; 1.2 s; peak memory 144 MiB.
2026-09-19T12:12:41Z INFO [50/500] 0635ad8c-2bcf-4dad-a782-84297ee261bd: 164 internal nodes; 3.3 s; peak memory 144 MiB.
2026-09-19T12:12:42Z INFO [50/500] 0635ad8c-2bcf-4dad-a782-84297ee261bd: checkpointed 49056 records.
2026-09-19T12:12:42Z INFO [51/500] 063665e4-5815-4e56-b2a7-adf95aef4402: 27 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:43Z INFO [52/500] 06374223-a883-4cbe-a595-1d39d063a18a: 119 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:46Z INFO [53/500] 0637499a-79bb-43aa-9166-c508ccded85d: 54 internal nodes; 2.8 s; peak memory 144 MiB.
2026-09-19T12:12:46Z INFO [54/500] 06384e41-2d4f-49be-9b00-bbaddee03d50: 21 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:47Z INFO [55/500] 06384e4a-2157-454c-b00d-2678b11a3fb9: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:12:47Z INFO [56/500] 06387e57-5933-47c7-8769-d5859e4de41d: 23 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:48Z INFO [57/500] 06392758-6031-43d5-a391-85e44c48d724: 23 internal nodes; 0.6 s; peak memory 144 MiB.
